Timestamp,Air Temperature (°C),Leaf Temperature (°C),Humidity (%),Air VPD (kPa),Leaf VPD (kPa)
2025-02-15 11:52:50,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:00,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:10,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:20,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:30,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:41,20.2,19.0,47,1.25,1.08
2025-02-15 11:53:51,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:01,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:11,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:21,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:31,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:41,20.2,19.0,47,1.25,1.08
2025-02-15 11:54:51,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:02,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:12,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:22,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:32,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:42,20.2,19.0,47,1.25,1.08
2025-02-15 11:55:52,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:02,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:12,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:23,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:33,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:43,20.2,19.0,47,1.25,1.08
2025-02-15 11:56:53,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:03,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:13,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:23,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:33,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:44,20.2,19.0,47,1.25,1.08
2025-02-15 11:57:54,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:04,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:14,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:24,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:34,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:44,20.2,19.0,47,1.25,1.08
2025-02-15 11:58:54,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:05,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:15,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:25,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:35,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:45,20.2,19.0,47,1.25,1.08
2025-02-15 11:59:55,20.2,19.0,47,1.25,1.08
2025-02-15 12:00:05,20.2,19.0,47,1.25,1.08
